temporada,serie,clube_slug,registro_cbf,apelido,atleta_slug,num_camisa,partidas_relacionado,partidas_jogadas,partidas_como_titular,minutos_em_campo,media_minutos_por_jogo
2022,B,cruzeiro_saf,292253,Rafael Cabral,rafael_cabral_barbosa,1,37,37,37,3330,90.0
2022,B,sport,437531,Sabino,sabino,35,37,37,37,3314,89.6
2022,B,crb,165094,Diogo Silva,diogo_silva,12,36,36,36,3240,90.0
2022,B,criciuma,321622,Gustavo,gustavo,1,36,36,36,3240,90.0
2022,B,tombense,172028,Felipe,felipe,12,38,36,36,3240,90.0
2022,B,sport,554138,Luciano,luciano,46,37,37,37,3172,85.7
2022,B,csa,351849,Lucas,lucas,13,37,35,35,3150,90.0
2022,B,londrina,371231,Caprini,mauricio_caprini_pinto,11,37,37,37,3122,84.4
2022,B,bahia,530656,Ignacio,ignacio_da_silva_oliveira,4,36,35,35,3105,88.7
2022,B,chapecoense,528447,Fernando,fernando,6,35,35,35,3093,88.4
2022,B,cruzeiro_saf,349619,Lucas Oliv ...,lucas_da_cruz_oliveira,26,35,35,34,3064,87.5
2022,B,criciuma,177531,Rodrigo,rodrigo,3,34,34,34,3060,90.0
2022,B,csa,177948,Marcelo,marcelo,31,34,34,34,3060,90.0
2022,B,londrina,174223,João Paulo,joao_paulo_da_silva,5,34,34,34,3060,90.0
2022,B,ponte_preta,313131,Caique,caique_franca_godoy,12,34,34,34,3060,90.0
2022,B,vila_nova,190431,Rafael Donato,rafael_ferreira_donato,5,36,35,34,3023,86.4
2022,B,guarani,296645,Mauricio K ...,mauricio_kozlinski,30,33,33,33,2970,90.0
2022,B,gremio,165322,Geromel,pedro_tonon_geromel,3,34,34,34,2960,87.1
2022,B,gremio,312015,Bruno Alves,bruno_fabiano_alves,34,35,34,33,2935,86.3
2022,B,sampaio_correa,433799,Mateus Mal ...,mateus_da_silva_duarte,2,34,34,34,2932,86.2
2022,B,tombense,448273,Manoel,manoel_ferreira_lima_neto,6,37,36,33,2929,81.4
2022,B,sampaio_correa,423695,André,andre,5,35,35,35,2908,83.1
2022,B,sampaio_correa,338185,Poveda,gabriel_buscariol_poveda,9,38,37,33,2907,78.6
2022,B,operario,304325,Fabiano,fabiano_da_silva_souza,6,33,33,33,2900,87.9
2022,B,londrina,682166,Gustavo,gustavo_vilar_dos_santos,3,32,32,32,2867,89.6
2022,B,londrina,188643,Saimon,saimon_pains_tormen,4,33,32,32,2838,88.7
2022,B,brusque,183707,Rodolfo,gerson_rodolfo_da_silva,5,33,32,32,2794,87.3
2022,B,cruzeiro_saf,291997,E. Brock,eduardo_schroeder_brock,14,36,33,31,2764,83.8
2022,B,crb,182466,Anselmo Ramon,anselmo_ramon,9,32,32,32,2763,86.3
2022,B,ponte_preta,465048,Leo,leonardo_naldi_de_matos,5,32,32,32,2755,86.1
2022,B,operario,177770,Vanderlei,vanderlei_farias_da_silva,1,31,31,31,2751,88.7
2022,B,operario,181824,Renie,renie_almeida_da_silva,4,33,31,30,2729,88.0
2022,B,gremio,727270,Villasanti,villasanti,27,32,32,32,2717,84.9
2022,B,ituano,188170,Lucas Siqu ...,lucas_santos_siqueira,8,35,33,30,2702,81.9
